a: 0x1cf,b: 0x19a,c: 0x4073f2,d: -0x6e96aa,t1: 0x369,t2: 0xaf0a9c,t3: -0xc8027d76, t4: 0x6739b194, t5: 0x254eb2dfc
a: 0.0,b: 0.0,c: 4179437.0,d: -7273311.0,t1: 0.0,t2: 11452748.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3fc5ed,d: -0x6efb5f,t1: 0x0,t2: 0xaec14c,t3: 0x0, t4: 0x0, t5: 0x0
a: -355.0,b: -181.0,c: 4134730.0,d: -7298819.0,t1: -536.0,t2: 11433549.0,t3: 2591080745.0, t4: -748386130.0, t5: -6128382264.0
a: -0x163,b: -0xb5,c: 0x3f174a,d: -0x6f5f03,t1: -0x218,t2: 0xae764d,t3: 0x9a70c129, t4: -0x2c9b7752, t5: -0x16d47b138
a: -113.0,b: 262.0,c: 4089867.0,d: -7324052.0,t1: 149.0,t2: 11413919.0,t3: 827617876.0, t4: 1071545154.0, t5: 1700673931.0
a: -0x71,b: 0x106,c: 0x3e680b,d: -0x6fc194,t1: 0x95,t2: 0xae299f,t3: 0x31547254, t4: 0x3fde7b42, t5: 0x655e398b
a: 0.0,b: 0.0,c: 4044851.0,d: -7349009.0,t1: 0.0,t2: 11393860.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3db833,d: -0x702311,t1: 0x0,t2: 0xaddb44,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3999682.0,d: -7373689.0,t1: 0.0,t2: 11373371.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3d07c2,d: -0x708379,t1: 0x0,t2: 0xad8b3b,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3954362.0,d: -7398092.0,t1: 0.0,t2: 11352454.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3c56ba,d: -0x70e2cc,t1: 0x0,t2: 0xad3986,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3908894.0,d: -7422216.0,t1: 0.0,t2: 11331110.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3ba51e,d: -0x714108,t1: 0x0,t2: 0xace626,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3863279.0,d: -7446061.0,t1: 0.0,t2: 11309340.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3af2ef,d: -0x719e2d,t1: 0x0,t2: 0xac911c,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3817518.0,d: -7469625.0,t1: 0.0,t2: 11287143.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3a402e,d: -0x71fa39,t1: 0x0,t2: 0xac3a67,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3771613.0,d: -7492909.0,t1: 0.0,t2: 11264522.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x398cdd,d: -0x72552d,t1: 0x0,t2: 0xabe20a,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3725567.0,d: -7515910.0,t1: 0.0,t2: 11241477.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x38d8ff,d: -0x72af06,t1: 0x0,t2: 0xab8805,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3679380.0,d: -7538628.0,t1: 0.0,t2: 11218008.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x382494,d: -0x7307c4,t1: 0x0,t2: 0xab2c58,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3633054.0,d: -7561062.0,t1: 0.0,t2: 11194116.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x376f9e,d: -0x735f66,t1: 0x0,t2: 0xaacf04,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3586592.0,d: -7583212.0,t1: 0.0,t2: 11169804.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x36ba20,d: -0x73b5ec,t1: 0x0,t2: 0xaa700c,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3539995.0,d: -7605076.0,t1: 0.0,t2: 11145071.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x36041b,d: -0x740b54,t1: 0x0,t2: 0xaa0f6f,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3493264.0,d: -7626654.0,t1: 0.0,t2: 11119918.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x354d90,d: -0x745f9e,t1: 0x0,t2: 0xa9ad2e,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3446402.0,d: -7647945.0,t1: 0.0,t2: 11094347.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x349682,d: -0x74b2c9,t1: 0x0,t2: 0xa9494b,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3399411.0,d: -7668947.0,t1: 0.0,t2: 11068358.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x33def3,d: -0x7504d3,t1: 0x0,t2: 0xa8e3c6,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3352291.0,d: -7689661.0,t1: 0.0,t2: 11041952.0,t3: 0.0, t4: 0.0, t5: 0.0
